"","cu70","Ac62","Ac50","Ac41","Ac7","Ac31","cu12","cu80","cu76","cu19","Ap20","Ap14","Ap24","Ap5","Ap19","Ap22"
"Tau1.26.0","1203.78130438318","1481.69321754292","1150.44796003983","1355.19038770326","1446.86062765728","1357.82544000211","1265.90594038007","1113.45106564592","1691.98778858347","1432.87842428633","923.706319383964","1804.47017888068","2208.45202288598","1590.95840566814","986.556482819282","1770.77563703265"
"Tau2.26.0","1419352.17556719","1387611.57399563","1147515.79323364","1546521.70755055","1499828.13827812","1756536.77861332","1544809.72920732","1648869.84500815","1787349.69554823","1694822.429885","1808423.64769048","1328253.28069071","1671358.7839738","2037646.93493659","1506072.21383304","2247427.33223733"
"NPQ.26.0","0.620808000388024","0.373585959095743","0.68225347195954","0.629383611487316","0.563333786201153","0.454570643223708","0.620235483125294","0.518340353197427","0.446021719072309","0.475346778381961","0.374653296288372","0.365626748496818","0.332021790174061","0.346282941536959","0.292838979973559","0.434030447108611"
"qP.26.0","0.821686523568934","0.789952933165501","0.848081896817356","0.619043520197872","0.834855695317733","0.829839332454255","0.860799653323127","0.798310752841284","0.848061940502252","0.841510786635298","0.764570764930079","0.750267383774207","0.675369956651518","0.694823223695847","0.768586803620917","0.727317136771934"
"ABQ.26.0","0.278234200034919","0.321161741409096","0.296468029761598","0.277513165860137","0.255915771871619","0.230278717326774","0.139946078717718","0.20899837497681","0.103313747192199","0.280788958779919","0.201956761220155","0.190530252683342","0.166068505934826","0.223130767071865","0.317132132885704","0.179451408337487"
"Quant.27.0","0.207397197039806","0.191872231670155","0.221957282245442","0.187554436558418","0.191493346838937","0.194756121134235","0.193614214361406","0.201511839568331","0.173516996623089","0.185693267657931","0.201859454952354","0.196116853700284","0.158290091877358","0.179229288188257","0.216081283718673","0.163595226283988"
"Sigma.27.0","6.67192094538792","5.73791676575686","5.27344898693906","5.31206666092262","5.62800143335087","5.50213814493337","5.58368734716312","4.32581573537906","5.99166371362604","5.38294440432956","5.55384137583434","5.20113772102864","5.87145893597852","5.23584019087039","5.17612840848974","5.31278850989055"
"Connect.27.0","0.17271147124338","0.189647231150679","0.139970487079851","0.0940845410344025","0","0","0.161961079442636","0.05681144002671","0.0510063018447126","0.198544359614649","0.157451797137453","0.0573001619456866","0.166276926346642","0","0.174108203608068","0.0864438868023535"
"Tau1.27.0","1218.92443069362","1550.18763695086","1148.188008765","1435.63364218351","1405.09728380606","1367.20945354942","1255.21319930359","1080.14146731363","1567.02342687866","1425.9377907094","958.813932342976","1870.50193041602","2248.12649162274","1631.84632008751","988.896204365612","1770.52630892786"
"Tau2.27.0","1465132.45705783","1412709.61730788","1116885.30590027","1620820.50759178","1324885.89638967","1717656.81892358","1594793.38169846","1464901.00252675","1596159.12485017","1724897.40049413","1854369.30729498","1402091.04243449","1749536.39527329","1835620.80910674","1528200.09440645","2228116.61451647"
"NPQ.27.0","0.614124456804068","0.359248999542256","0.667275568360497","0.609147997786827","0.550851269099446","0.421392141800232","0.612586514703305","0.476524636751325","0.422987854506519","0.452577289512493","0.366416702805489","0.362875360758317","0.324190665349484","0.32258454371526","0.288705609106962","0.410217175833879"
"qP.27.0","0.821002302528147","0.77636259132645","0.847447733577818","0.614628172378485","0.824919938192111","0.817379326506992","0.855590048388648","0.788300660952603","0.840785629345321","0.822412118004068","0.75430062852015","0.751599414888842","0.67505236264764","0.687012872549052","0.762288265661992","0.716403307643996"
"ABQ.27.0","0.27033647034494","0.253839655147311","0.298131684986018","0.27510899079207","0.264104610339017","0.283567525619196","0.142867058703653","0.244367627275583","0.119102546213495","0.281403078719413","0.191909916193313","0.145874325977386","0.193988272132817","0.260049056812454","0.289165647050809","0.228818240448846"
